Matrix_1,Matrix_2,Matrix_3,Matrix_4,Matrix_5,Matrix_6,Matrix_7,Matrix_8,Matrix_9,Matrix_10,Matrix_11,Matrix_12,Matrix_13,Matrix_14
1,0,0,1,1,2,12,1,0,1,1,0,0,379
2,2.26666666666667,0,2,2,13,12,2,0,0,2,0,0,3
3,4.53333333333333,0,3,2,3,13,3,0,0,3,0,0,672
4,6.8,0,4,3,14,13,4,0,0,4,0,0,4
5,17.9714285714286,0,5,3,4,14,5,0,0,5,0,0,379
6,29.1428571428571,0,6,4,15,14,6,0,0,6,0,0,3
7,40.3142857142857,0,7,4,5,15,7,0,0,7,0,0,379
8,51.4857142857143,0,8,5,16,15,8,0,0,8,0,0,3
9,62.6571428571429,0,9,5,6,16,9,0,0,9,0,0,0
10,73.8285714285714,0,10,6,17,16,10,0,0,10,0,0,0
11,85,0,11,6,7,17,11,0,0,11,47.7142857142857,0,0
12,0,3.8,12,7,18,17,12,0,0,12,0,0,0
13,2.26666666666667,3.85555693103457,13,7,8,18,13,0,0,13,0,0,0
14,4.53333333333333,4.04736846442864,14,8,19,18,14,0,0,14,0,0,0
15,6.8,4.77142857142857,15,8,9,19,15,0,0,15,0,0,0
16,17.9714285714286,4.77142857142857,16,9,20,19,16,0,0,16,0,0,0
17,29.1428571428571,4.77142857142857,17,9,10,20,17,0,0,17,0,0,0
18,40.3142857142857,4.77142857142857,18,10,21,20,18,0,0,18,0,0,0
19,51.4857142857143,4.77142857142857,19,10,11,21,19,0,0,19,0,0,0
20,62.6571428571429,4.77142857142857,20,11,22,21,20,0,0,20,0,0,0
21,73.8285714285714,4.77142857142857,21,12,13,23,21,0,0,21,0,0,0
22,85,4.77142857142857,22,13,24,23,22,0,0,22,47.7142857142857,0,0
23,0,7.6,23,13,14,24,23,0,0,23,0,0,0
24,2.26666666666667,7.71111386206914,24,14,25,24,24,0,0,24,0,0,0
25,4.53333333333333,8.09473692885728,25,14,15,25,25,0,0,25,0,0,0
26,6.8,9.54285714285714,26,15,26,25,26,0,0,26,0,0,0
27,17.9714285714286,9.54285714285714,27,15,16,26,27,0,0,27,0,0,0
28,29.1428571428571,9.54285714285714,28,16,27,26,28,0,0,28,0,0,0
29,40.3142857142857,9.54285714285714,29,16,17,27,29,0,0,29,0,0,0
30,51.4857142857143,9.54285714285714,30,17,28,27,30,0,0,30,0,0,0
31,62.6571428571429,9.54285714285714,31,17,18,28,31,0,0,31,0,0,0
32,73.8285714285714,9.54285714285714,32,18,29,28,32,0,0,32,0,0,0
33,85,9.54285714285714,33,18,19,29,33,0,0,33,47.7142857142857,0,0
34,0,11.4,34,19,30,29,34,0,0,34,0,0,0
35,2.26666666666667,11.5666707931037,35,19,20,30,35,0,0,35,0,0,0
36,4.53333333333333,12.1421053932859,36,20,31,30,36,0,0,36,0,0,0
37,6.8,14.3142857142857,37,20,21,31,37,0,0,37,0,0,0
38,17.9714285714286,14.3142857142857,38,21,32,31,38,0,0,38,0,0,0
39,29.1428571428571,14.3142857142857,39,21,22,32,39,0,0,39,0,0,0
40,40.3142857142857,14.3142857142857,40,22,33,32,40,0,0,40,0,0,0
41,51.4857142857143,14.3142857142857,41,23,24,34,41,0,0,41,0,0,0
42,62.6571428571429,14.3142857142857,42,24,35,34,42,0,0,42,0,0,0
43,73.8285714285714,14.3142857142857,43,24,25,35,43,0,0,43,0,0,0
44,85,14.3142857142857,44,25,36,35,44,0,0,44,47.7142857142857,0,0
45,0,15.2,45,25,26,36,45,0,0,45,0,0,0
46,2.26666666666667,15.4222277241383,46,26,37,36,46,0,0,46,0,0,0
47,4.53333333333333,16.1894738577146,47,26,27,37,47,0,0,47,0,0,0
48,6.8,19.0857142857143,48,27,38,37,48,0,0,48,0,0,0
49,17.9714285714286,19.0857142857143,49,27,28,38,49,0,0,49,0,0,0
50,29.1428571428571,19.0857142857143,50,28,39,38,50,0,0,50,0,0,0
51,40.3142857142857,19.0857142857143,51,28,29,39,51,0,0,51,0,0,0
52,51.4857142857143,19.0857142857143,52,29,40,39,52,0,0,52,0,0,0
53,62.6571428571429,19.0857142857143,53,29,30,40,53,0,0,53,0,0,0
54,73.8285714285714,19.0857142857143,54,30,41,40,54,0,0,54,0,0,0
55,85,19.0857142857143,55,30,31,41,55,0,0,55,47.7142857142857,0,0
56,0,19,56,31,42,41,56,0,0,56,0,0,0
57,2.26666666666667,19.2777846551728,57,31,32,42,57,0,0,57,0,0,0
58,4.53333333333333,20.2368423221432,58,32,43,42,58,0,0,58,0,0,0
59,6.8,23.8571428571429,59,32,33,43,59,0,0,59,0,0,0
60,17.9714285714286,23.8571428571429,60,33,44,43,60,0,0,60,0,0,0
61,29.1428571428571,23.8571428571429,61,34,35,45,61,0,0,61,0,0,0
62,40.3142857142857,23.8571428571429,62,35,46,45,62,0,0,62,0,0,0
63,51.4857142857143,23.8571428571429,63,35,36,46,63,0,0,63,0,0,0
64,62.6571428571429,23.8571428571429,64,36,47,46,64,0,0,64,0,0,0
65,73.8285714285714,23.8571428571429,65,36,37,47,65,0,0,65,0,0,0
66,85,23.8571428571429,66,37,48,47,66,0,0,66,47.7142857142857,0,0
67,0,22.8,67,37,38,48,67,0,0,67,0,0,0
68,2.26666666666667,23.1333415862074,68,38,49,48,68,0,0,68,0,0,0
69,4.53333333333333,24.2842107865718,69,38,39,49,69,0,0,69,0,0,0
70,6.8,28.6285714285714,70,39,50,49,70,0,0,70,0,0,0
71,17.9714285714286,28.6285714285714,71,39,40,50,71,0,0,71,0,0,0
72,29.1428571428571,28.6285714285714,72,40,51,50,72,0,0,72,0,0,0
73,40.3142857142857,28.6285714285714,73,40,41,51,73,0,0,73,0,0,0
74,51.4857142857143,28.6285714285714,74,41,52,51,74,0,0,74,0,0,0
75,62.6571428571429,28.6285714285714,75,41,42,52,75,0,0,75,0,0,0
76,73.8285714285714,28.6285714285714,76,42,53,52,76,0,0,76,0,0,0
77,85,28.6285714285714,77,42,43,53,77,0,0,77,47.7142857142857,0,0
78,0,26.6,78,43,54,53,78,0,0,78,0,0,0
79,2.26666666666667,26.988898517242,79,43,44,54,79,0,0,79,0,0,0
80,4.53333333333333,28.3315792510005,80,44,55,54,80,0,0,80,0,0,0
81,6.8,33.4,81,45,46,56,81,0,0,81,0,0,0
82,17.9714285714286,33.4,82,46,57,56,82,0,0,82,0,0,0
83,29.1428571428571,33.4,83,46,47,57,83,0,0,83,0,0,0
84,40.3142857142857,33.4,84,47,58,57,84,0,0,84,0,0,0
85,51.4857142857143,33.4,85,47,48,58,85,0,0,85,0,0,0
86,62.6571428571429,33.4,86,48,59,58,86,0,0,86,0,0,0
87,73.8285714285714,33.4,87,48,49,59,87,0,0,87,0,0,0
88,85,33.4,88,49,60,59,88,0,0,88,65.3571428571429,0,0
89,6.8,41.7,89,49,50,60,89,0,0,89,0,0,0
90,17.9714285714286,41.7,90,50,61,60,90,0,0,90,0,0,0
91,29.1428571428571,41.7,91,50,51,61,91,0,0,91,0,0,0
92,40.3142857142857,41.7,92,51,62,61,92,0,0,92,0,0,0
93,51.4857142857143,41.7,93,51,52,62,93,0,0,93,0,0,0
94,62.6571428571429,41.7,94,52,63,62,94,0,0,94,0,0,0
95,73.8285714285714,41.7,95,52,53,63,95,0,0,95,0,0,0
96,85,41.7,96,53,64,63,96,0,0,96,83,0,0
97,6.8,50,97,53,54,64,97,0,0,97,0,0,0
98,17.9714285714286,50,98,54,65,64,98,0,0,98,0,0,0
99,29.1428571428571,50,99,54,55,65,99,0,0,99,0,0,0
100,40.3142857142857,50,100,55,66,65,100,0,0,100,0,0,0
101,51.4857142857143,50,101,56,57,67,101,0,0,101,0,0,0
102,62.6571428571429,50,102,57,68,67,102,0,0,102,0,0,0
103,73.8285714285714,50,103,57,58,68,103,0,0,103,0,0,0
104,85,50,104,58,69,68,104,0,0,104,41.5,0,0
105,-2.26666666666667,0,105,58,59,69,105,0,0,105,0,0,0
106,-4.53333333333333,0,106,59,70,69,106,0,0,106,0,0,0
107,-6.8,0,107,59,60,70,107,0,0,107,0,0,0
108,-17.9714285714286,0,108,60,71,70,108,0,0,108,0,0,0
109,-29.1428571428571,0,109,60,61,71,109,0,0,109,0,0,0
110,-40.3142857142857,0,110,61,72,71,110,0,0,110,0,0,0
111,-51.4857142857143,0,111,61,62,72,111,0,0,111,0,0,0
112,-62.6571428571429,0,112,62,73,72,112,0,0,112,0,0,0
113,-73.8285714285714,0,113,62,63,73,113,0,0,113,0,0,0
114,-85,0,114,63,74,73,114,1,0,114,0,0,0
115,-2.26666666666667,3.85555693103457,115,63,64,74,115,0,0,115,0,0,0
116,-4.53333333333333,4.04736846442864,116,64,75,74,116,0,0,116,0,0,0
117,-6.8,4.77142857142857,117,64,65,75,117,0,0,117,0,0,0
118,-17.9714285714286,4.77142857142857,118,65,76,75,118,0,0,118,0,0,0
119,-29.1428571428571,4.77142857142857,119,65,66,76,119,0,0,119,0,0,0
120,-40.3142857142857,4.77142857142857,120,66,77,76,120,0,0,120,0,0,0
121,-51.4857142857143,4.77142857142857,121,67,68,78,121,0,0,121,0,0,0
122,-62.6571428571429,4.77142857142857,122,68,79,78,122,0,0,122,0,0,0
123,-73.8285714285714,4.77142857142857,123,68,69,79,123,0,0,123,0,0,0
124,-85,4.77142857142857,124,69,80,79,124,1,0,124,0,0,0
125,-2.26666666666667,7.71111386206914,125,69,70,80,125,0,0,125,0,0,0
126,-4.53333333333333,8.09473692885728,126,70,81,80,126,0,0,126,0,0,0
127,-6.8,9.54285714285714,127,70,71,81,127,0,0,127,0,0,0
128,-17.9714285714286,9.54285714285714,128,71,82,81,128,0,0,128,0,0,0
129,-29.1428571428571,9.54285714285714,129,71,72,82,129,0,0,129,0,0,0
130,-40.3142857142857,9.54285714285714,130,72,83,82,130,0,0,130,0,0,0
131,-51.4857142857143,9.54285714285714,131,72,73,83,131,0,0,131,0,0,0
132,-62.6571428571429,9.54285714285714,132,73,84,83,132,0,0,132,0,0,0
133,-73.8285714285714,9.54285714285714,133,73,74,84,133,0,0,133,0,0,0
134,-85,9.54285714285714,134,74,85,84,134,1,0,134,0,0,0
135,-2.26666666666667,11.5666707931037,135,74,75,85,135,0,0,135,0,0,0
136,-4.53333333333333,12.1421053932859,136,75,86,85,136,0,0,136,0,0,0
137,-6.8,14.3142857142857,137,75,76,86,137,0,0,137,0,0,0
138,-17.9714285714286,14.3142857142857,138,76,87,86,138,0,0,138,0,0,0
139,-29.1428571428571,14.3142857142857,139,76,77,87,139,0,0,139,0,0,0
140,-40.3142857142857,14.3142857142857,140,77,88,87,140,0,0,140,0,0,0
141,-51.4857142857143,14.3142857142857,141,81,82,89,141,0,0,141,0,0,0
142,-62.6571428571429,14.3142857142857,142,82,90,89,142,0,0,142,0,0,0
143,-73.8285714285714,14.3142857142857,143,82,83,90,143,0,0,143,0,0,0
144,-85,14.3142857142857,144,83,91,90,144,1,0,144,0,0,0
145,-2.26666666666667,15.4222277241383,145,83,84,91,145,0,0,145,0,0,0
146,-4.53333333333333,16.1894738577146,146,84,92,91,146,0,0,146,0,0,0
147,-6.8,19.0857142857143,147,84,85,92,147,0,0,147,0,0,0
148,-17.9714285714286,19.0857142857143,148,85,93,92,148,0,0,148,0,0,0
149,-29.1428571428571,19.0857142857143,149,85,86,93,149,0,0,149,0,0,0
150,-40.3142857142857,19.0857142857143,150,86,94,93,150,0,0,150,0,0,0
151,-51.4857142857143,19.0857142857143,151,86,87,94,151,0,0,151,0,0,0
152,-62.6571428571429,19.0857142857143,152,87,95,94,152,0,0,152,0,0,0
153,-73.8285714285714,19.0857142857143,153,87,88,95,153,0,0,153,0,0,0
154,-85,19.0857142857143,154,88,96,95,154,1,0,154,0,0,0
155,-2.26666666666667,19.2777846551728,155,89,90,97,155,0,0,155,0,0,0
156,-4.53333333333333,20.2368423221432,156,90,98,97,156,0,0,156,0,0,0
157,-6.8,23.8571428571429,157,90,91,98,157,0,0,157,0,0,0
158,-17.9714285714286,23.8571428571429,158,91,99,98,158,0,0,158,0,0,0
159,-29.1428571428571,23.8571428571429,159,91,92,99,159,0,0,159,0,0,0
160,-40.3142857142857,23.8571428571429,160,92,100,99,160,0,0,160,0,0,0
161,-51.4857142857143,23.8571428571429,161,92,93,100,161,0,0,161,0,0,0
162,-62.6571428571429,23.8571428571429,162,93,101,100,162,0,0,162,0,0,0
163,-73.8285714285714,23.8571428571429,163,93,94,101,163,0,0,163,0,0,0
164,-85,23.8571428571429,164,94,102,101,164,1,0,164,0,0,0
165,-2.26666666666667,23.1333415862074,165,94,95,102,165,0,0,165,0,0,0
166,-4.53333333333333,24.2842107865718,166,95,103,102,166,0,0,166,0,0,0
167,-6.8,28.6285714285714,167,95,96,103,167,0,0,167,0,0,0
168,-17.9714285714286,28.6285714285714,168,96,104,103,168,0,0,168,0,0,0
169,-29.1428571428571,28.6285714285714,169,12,1,105,169,0,0,169,0,0,0
170,-40.3142857142857,28.6285714285714,170,12,105,115,170,0,0,170,0,0,0
