Matrix_1,Matrix_2,Matrix_3,Matrix_4,Matrix_5,Matrix_6,Matrix_7,Matrix_8,Matrix_9,Matrix_10,Matrix_11,Matrix_12,Matrix_13,Matrix_14,Matrix_15,Matrix_16,Matrix_17
1,0.000142151674249776,2.07702292248608e-05,1.27773265172494e-07,3.3716515918918,1.38023725945178,0.00104814006586812,3.78408739437964,0.967801456963939,0.000526329283489341,2.93588376681695,1,0.0126493735992516,0,2.68203977020279,2.54180568731028,672
2,0.000140588032517724,2.00559239609604e-05,-2.00243707779154e-06,3.33146431831886,1.35398441230945,-0.0164262416537587,3.74111029586064,0.944338434767669,-0.00830589005167986,2.90206598823742,2,0.0129715840608845,2.69178520300608e-17,0,0,11
3,0.000142920423726929,2.00559239609604e-05,-8.04925311842172e-07,3.38461125342443,1.36886555413901,-0.00660290294870532,3.80210115074166,0.951375656821781,-0.00327561581217649,2.94897258009187,3,0.0132955370213322,4.96701999118437e-17,0,0,379
4,0.000141668841635877,1.69638118656469e-05,-6.80034939261185e-06,3.3363638108978,1.29042191622997,-0.0557841161112691,3.76116735767159,0.865618369456183,-0.0272387597935238,2.9155669811011,4,0.0136250367652015,7.13733805151133e-17,0,0,3
5,0.000145367534060001,1.69638118656469e-05,-1.54072547174965e-06,3.42064391170792,1.3140203444568,-0.0126387636354463,3.85699355451293,0.877670701651798,-0.00599924795179795,2.9888355191049,5,0.0152971942615368,1.69319890438205e-16,0,0,1
6,0.000144297086524525,1.27150370991571e-05,-9.72684129444746e-06,3.36914413537118,1.21037613698623,-0.0797904949935143,3.81832356584618,0.761196706511231,-0.0368940207360779,2.95927533420689,6,0.0171014771945165,2.67577596997795e-16,0,0,1
7,0.000149681617319018,1.27150370991571e-05,-2.14021320517595e-06,3.49183852196443,1.24473056523234,-0.017556436448709,3.95732680643002,0.779242280766741,-0.00781226719061678,3.06542280798845,7,0.0188796846684675,3.61907751404201e-16,0,0,1
8,0.000153922235746833,-2.62793427181514e-05,-8.86646820712254e-06,3.33967493001384,0.383242783322697,-0.0727327470115521,3.95323694515716,-0.230319231820625,-0.0245817034274683,3.16800686726274,8,0.0205504064055941,4.50134963076281e-16,0,0,1
9,0.000161508702440639,-2.62793427181514e-05,7.78842035934923e-06,3.51254363722947,0.431646021343074,0.0638893857602867,4.15155506370214,-0.207365405129596,0.0207253854764569,3.31969142635532,9,0.0221040357903122,5.24639228908617e-16,0,0,0
10,0.0001626086924852,-4.99304642229843e-05,2.62216251263709e-07,3.38670943202914,-0.10026110771451,0.00215099268614762,4.10888561484899,-0.822437290534355,0.000616865433847195,3.43793865363917,10,0.0235650499715841,5.98551035403701e-16,0,0,0
